date,day_name,city,movie_title,cinema_name,time,format,language,event_type,scraped_at
2026-08-26,sroda,warszawa,ABBA pod gwiazdami,Planetarium Centrum Nauki Kopernik w Warszawie,19:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Helios Warszawa Blue City,18:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Atrium Reduta w Warszawie,16:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Młociny,16:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Targówek,16:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Wola,16:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Złote Tarasy,16:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Cinema City Warszawa Arkadia,16:10,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Cinema City Warszawa Galeria Mokotów,17:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Cinema City Warszawa Promenada,19:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Kino Muranów w Warszawie,16:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Kinokawiarnia Stacja Falenica w Warszawie,17:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Kinoteka w Warszawie,15:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,22:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Biuro Detektywistyczne Lassego i Mai. Rabuś z pociągu (dubbing),Kinokawiarnia Stacja Falenica w Warszawie,10:00,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Arkadia,10:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Arkadia,19:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Arkadia,21:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Bemowo,18:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Bemowo,21:05,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Mokotów,19:10,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Mokotów,21:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Północna,19:10,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Północna,21:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Promenada,18:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Promenada,20:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Sadyba,19:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Sadyba,21:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Atlantic w Warszawie,13:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Atlantic w Warszawie,20:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Kultura w Warszawie,14:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Luna w Warszawie,16:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Multikino Targówek,21:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,NoveKino Wisła w Warszawie,12:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Ból i blask,Kino Kultura w Warszawie,18:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Brudny Henryk,Kinoteka w Warszawie,20:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Arkadia,15:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Arkadia,17:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Arkadia,20:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Arkadia,22:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Bemowo,15:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Bemowo,17:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Bemowo,19:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Bemowo,21:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Mokotów,11:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Mokotów,13:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Mokotów,20:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Mokotów,22:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Północna,14:50,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Północna,17:10,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Północna,19:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Galeria Północna,21:50,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Promenada,16:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Promenada,18:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Promenada,20:10,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Promenada,22:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Sadyba,10:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Sadyba,12:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Sadyba,18:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Cinema City Warszawa Sadyba,21:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Helios Warszawa Blue City,11:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Helios Warszawa Blue City,17:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Helios Warszawa Blue City,19:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Atrium Reduta w Warszawie,15:10,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Atrium Reduta w Warszawie,20:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Młociny,15:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Młociny,17:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Młociny,20:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Targówek,15:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Targówek,17:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Targówek,20:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Targówek,21:35,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Wola,15:05,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Wola,20:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Złote Tarasy,18:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Buntownik,Multikino Złote Tarasy,21:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Chłopiec z pudełka,Kinoteka w Warszawie,19:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Cinema Paradiso,NoveKino Wisła w Warszawie,20:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Cudowne życie,Filmowa Stolica Lata - Metro Słodowiec,21:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Czarne dziury: nieznane horyzonty,Planetarium Centrum Nauki Kopernik w Warszawie,14:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Dinozaury: Historia przetrwania,Planetarium Centrum Nauki Kopernik w Warszawie,10:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Do utraty tchu,Kinomuzeum w Muzeum Sztuki Nowoczesnej w Warszawie,17:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Bemowo,10:20,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Promenada,13:00,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce,Kino Luna w Warszawie,11:50,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,10:00,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,11:45,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,11:20,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,10:20,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,10:20,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,11:10,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Flavia de Luce (dubbing),Multikino Targówek,10:40,,dubbing,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Folwark zwierzęcy,Kino Luna w Warszawie,10:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Frances Ha,Cinema City Warszawa Arkadia,18:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Frances Ha,Cinema City Warszawa Galeria Mokotów,17:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Frances Ha,Kino Elektronik w Warszawie,20:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Frances Ha,NoveKino Wisła w Warszawie,16:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Frances Ha,U–jazdowski kino,17:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Gorzkie święta,Kino Atlantic w Warszawie,19:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Gorzkie święta,Kino Muranów w Warszawie,20:15,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Cinema City Warszawa Arkadia,16:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Cinema City Warszawa Galeria Mokotów,13:40,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Cinema City Warszawa Promenada,16:00,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Kino Atlantic w Warszawie,13:30,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Kino Elektronik w Warszawie,20:20,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Kino Głębocka 66 w Warszawie,19:45,,,regular,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Historie równoległe,Kino Muranów w Warszawie,20:30,,,regular,2026-08-26T08:44:55.094695
