date,day_name,city,movie_title,cinema_name,time,format,language,event_type,scraped_at
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Arkadia,11:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Arkadia,14:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Arkadia,15:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Arkadia,16:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Arkadia,19:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Arkadia,21:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Bemowo,11:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Bemowo,14:00,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Bemowo,16:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Bemowo,19:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Bemowo,21:45,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,10:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,13:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,15:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,18:10,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,19:00,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,21:00,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Mokotów,21:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Północna,11:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Północna,14:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Północna,16:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Północna,19:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Galeria Północna,21:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Promenada,11:40,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Promenada,14:10,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Promenada,16:40,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Promenada,19:10,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Promenada,21:40,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Sadyba,12:00,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Sadyba,18:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Cinema City Warszawa Sadyba,21:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Helios Warszawa Blue City,13:40,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Helios Warszawa Blue City,18:15,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Helios Warszawa Blue City,21:10,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Kinoteka w Warszawie,17:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Kinoteka w Warszawie,20:15,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Atrium Reduta w Warszawie,17:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Atrium Reduta w Warszawie,19:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Młociny,15:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Młociny,17:50,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Młociny,20:30,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Targówek,12:20,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Targówek,15:15,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Targówek,17:45,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Targówek,20:15,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Wola,17:45,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Wola,20:25,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Złote Tarasy,15:00,,,regular,2026-01-20T08:36:15.225644
2026-01-20,wtorek,warszawa,28 lat później: Świątynia kości,Multikino Złote Tarasy,17:40,,,regular,2026-01-20T08:36:15.225644
