date,day_name,city,movie_title,cinema_name,time,format,language,event_type,scraped_at
2026-08-17,poniedzialek,warszawa,Arek.Mama.Panorama,Kino Kultura w Warszawie,18:00,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,22:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,22:00,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,19:40,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Big Bang,Kino Iluzjon - Muzeum Sztuki Filmowej w Warszawie,20:00,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Biuro Detektywistyczne Lassego i Mai. Rabuś z pociągu (dubbing),Kinokawiarnia Stacja Falenica w Warszawie,12:15,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Czarne dziury: nieznane horyzonty,Planetarium Centrum Nauki Kopernik w Warszawie,14:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Dinozaury: Historia przetrwania,Planetarium Centrum Nauki Kopernik w Warszawie,10:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Do utraty tchu,Kino Luna w Warszawie,16:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Drugie życie,Helios Warszawa Blue City,17:00,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Dzień Objawienia,Cinema City Warszawa Arkadia,22:00,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Ekipa zwierzaków,Kinokawiarnia Stacja Falenica w Warszawie,13:45,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Bemowo,10:00,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Promenada,10:10,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Promenada,16:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Ekipa zwierzaków (dubbing),Multikino Targówek,10:00,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Ekipa zwierzaków (dubbing),Multikino Targówek,13:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Eleanor Wspaniała,Filmowa Stolica Lata - Dzielnicowy Ośrodek Kultury Ursynów,21:00,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Falenicka Atlantyda,Kinokawiarnia Stacja Falenica w Warszawie,20:15,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce,Kinokawiarnia Stacja Falenica w Warszawie,15:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce,NoveKino Wisła w Warszawie,12:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Arkadia,11:20,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Arkadia,13:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Arkadia,15:50,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,10:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,12:40,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,14:50,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,12:40,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,14:50,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,17:10,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,11:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,13:50,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,16:10,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,10:00,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,12:15,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,14:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,10:50,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,13:10,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,15:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Multikino Młociny,10:50,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Multikino Młociny,15:25,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flavia de Luce (dubbing),Multikino Targówek,17:15,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Flow,NoveKino Wisła w Warszawie,10:15,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Frances Ha,NoveKino Wisła w Warszawie,20:15,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Full Metal Jacket,Kino Muranów w Warszawie,20:30,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Arkadia,13:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Bemowo,14:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Galeria Mokotów,14:00,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Galeria Północna,13:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Promenada,13:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Sadyba,13:30,,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Arkadia,11:00,3D,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Bemowo,12:00,3D,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Galeria Mokotów,11:30,3D,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Galeria Północna,11:00,3D,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Promenada,11:00,3D,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Sadyba,11:00,3D,dubbing,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Historie równoległe,Cinema City Warszawa Arkadia,16:20,,,regular,2026-08-17T08:44:48.970649
2026-08-17,poniedzialek,warszawa,Historie równoległe,Cinema City Warszawa Arkadia,19:20,,,regular,2026-08-17T08:44:48.970649
